property_name	address	area	city	province	state	country	latitude	longitude	property_type	hotel_brand	hotel_star_rating	hotel_facilities	number_of_hotel_facilities	room_type	room_count	room_facilities	number_of_room_facilities	point_of_interest	number_of_POIs	image_count	positive_reviews_count	critical_reviews_count	guest_recommendation	site_review_count	site_review_rating	site_stay_service_quality_review_rating	site_stay_amenities_review_rating	site_stay_food_review_rating	site_stay_value_review_rating	site_stay_location_review_rating	site_stay_cleanliness_review_rating	uniq_id
Forest View	Near Hadimba Palace, Mall Road, Manali	Aleo, left bank	Manali	Manali	Himachal Pradesh	India	32.2415294	77.1888121	Hotel	null	0	Business Center |Internet Access - Surcharge|Parking Facilities Available|Front Desk|24 Hour Front Desk|Doorman|Catering|Grocery|Coffee Shop / Cafe|Kitchen available (home cook food on request)|Open Air Restaurant / Dining |Car Rental|Food Facility|Family Room| Cook Services|Baggage Room|Adjoining Rooms|Outdoor Parking - Secured|Parking Facility|Room Service|First-Aid Kit at Front Desk|Suites	22	Deluxe Room	4	Room Service |Alarm Clock|Basic Bathroom Amenities|Ceiling Fan|Telephone|Housekeeping|Desk in Room|Extra Bed, Towels, Linens, Bedding (on request)|Bathtub Only|TV|Bathrobes|Mirror|Luggage Rack|Attached Bathroom|Bathtub|Daily Room Cleaning|Dustbins|Room Door Fitted with Lock and Key|Room with Window/Ventilation|Rooms with Attached Bathrooms	20	Chandrakhani Pass|Aleo, Left Bank|Manali 1st Super Market|Vashist Hot Water Springs and Temples|Manali Bus Stand|Hadimba Temple|Tibetan Monasteries|Manu Temple|Club House|Lady Willingdon Hospital|Civil Hospital|Van Vihar	12	20	0	0	0	0	0	0	0	0	0	0	0	cd6debc78221815e4aeda144037deb57
Hotel Paradise	Hadimba Road, Near Sagar Resorts, Manali	Hadimba Road	Manali	Manali	Himachal Pradesh	India	32.2396325	77.1887145	Hotel	null	3	Doctor on Call|Dry Cleaning|Laundry Service Available|Lobby|Parking Facilities Available|Multi Cuisine Restaurant	6	Honeymoon Suite	18	Room Service |Balcony / Terrace|Bathrobe (on request) |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Hairdryer (on request)|Heating Facility (on request) |Telephone|Shower Facility Available|Shower Caps Available| Hot / Cold Running Water|Housekeeping	12	Hadimba Temple|Chandrakhani Pass|Vashist Hot Water Springs and Temples|Tibetan Monasteries|Hadimba Road|Van Vihar|Manu Temple|Lady Willingdon Hospital|Manali Bus Stand|Civil Hospital|Manali 1st Super Market|Club House	12	13	32	11	69	43	3.7	3.6	3.5	3.5	3.7	3.8	3.6	3d094106c2a4688aa47f5e736e578307
hotel parijat	hotel parijat, mission road, the mall manali	Mall Road	Manali	Manali	Himachal Pradesh	India	32.2415294	77.1888121	Hotel	null	2	Doctor on Call|Lobby|Front Desk|24 Hour Front Desk|Power Backup|Room Service (24 Hours)|Room Service	7	Standard Double Room	5	Room Service |Alarm Clock|Basic Bathroom Amenities|Ceiling Fan| Hot / Cold Running Water|Housekeeping|Desk in Room|Toiletries|Window Opens	9	Hadimba Temple|Chandrakhani Pass|Vashist Hot Water Springs and Temples|Tibetan Monasteries|Van Vihar|Manu Temple|Lady Willingdon Hospital|Mall Road|Manali Bus Stand|Civil Hospital|Manali 1st Super Market|Club House	12	5	1	1	50	2	2.5	4	4	2.5	4	4	2.5	f6c2deb337659c13edd7b6a5baaf37cf
Hotel Peak view	Left Bank ,Prini	Aleo, Left Bank	Manali	Manali	Himachal Pradesh	India	32.22493936	77.19315624	Hotel	null	3	Banquet Facilities|Barbecue Area|Games Zone|Multi Cuisine Restaurant |Spa On Site - Chargeable	5	Deluxe Room	17	Room Service |Basic Bathroom Amenities|Ceiling Fan|Telephone| Hot / Cold Running Water|Housekeeping|Desk in Room|Coffee Table|TV|Mirror	10	Hidimba Devi Temple|Tibetian Monastery|MALL MANALI|Tibetan Monasteries|Chandrakhani Pass|Van Vihar|Lady Willingdon Hospital|Manali Bus Stand|Civil Hospital|Aleo, Left Bank|Manali 1st Super Market	11	40	16	4	60	20	3.7	3.8	3.7	3.7	3.8	4	3.7	af47c5a06010fe9a1bdebc9df32624c9
Hotel Piccadily	The Mall,National Highway 21, Manali	Mall Road	Manali	Manali	Himachal Pradesh	India	32.23963931	77.18854284	Hotel	null	3	Swimming Pool|Banquet Facilities|Bar / Lounge |Barbecue Area|Business Center |Doctor on Call|Dry Cleaning|Internet Access - Surcharge|Laundry Service Available|Lift / Elevator|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Local Tour / Travel Desk|24 Hour Front Desk|Medical Assistance Available|Welcome Drinks|Power Backup|Conference Facility |Fax Machine|Board Room|Internet Access Free|Newspapers In Lobby|Room Service (24 Hours)|Parking Facility	25	Semi Deluxe Room	63	Air Conditioning |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ensuite / Private Bathroom|Heating Facility (on request) |Tea Coffee Kettle / Maker|Mini bar - On Charge |Internet Connection In Room|Refrigerator|Telephone|Mirror	11	The Mall - Shopping center|Hidimba Devi Temple|Tibetian Monastery|Jagatsuhk|Hadimba Temple|Chandrakhani Pass|Vashist Hot Water Springs and Temples|Tibetan Monasteries|Manu Temple|Mall Road|Manali Bus Stand|Manali 1st Super Market|Club House	13	22	56	16	80	72	3.6	3.6	3.5	3.4	3.6	3.9	3.8	20ebed5e58d0d8f26ac36793a542bea8
Hotel Pine Grove	Hotel Pine Grove, Hadimba Mata Road, Distt. Kullu	Hadimba Road	Manali	Manali	Himachal Pradesh	India	32.2481111	77.1839391	Hotel	null	0	Doctor on Call|Non Smoking Rooms|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Local Tour / Travel Desk|Major Credit Cards Accepted|Gardens|Suitable For Children|Conference Facility	10	Deluxe Room ( Front Facing )	17	Balcony / Terrace|Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ensuite / Private Bathroom|Telephone| Hot / Cold Running Water|Snacks / Beverage|TV	8	Manu Temple|Manikaran Sahib Religious Centre|Hadimba Devi Temple|VASHISHT SULPHUR HOT WATER SPRINGS|Hadimba Temple|Chandrakhani Pass|Tibetan Monasteries|Hadimba Road|Van Vihar|Lady Willingdon Hospital|Manali Bus Stand|Civil Hospital|Manali 1st Super Market|Club House	14	19	57	21	66	78	3.6	3.5	3.4	3.4	3.7	3.7	3.3	6bc597acc4f337cf4f200c37d6296e5b
Hotel Prashant - Bene Resorts	Hadimba Road, Manali	Hadimba Road	Manali	Manali	Himachal Pradesh	India	32.2459085	77.1826108	Hotel	null	2	Doctor on Call|Parking Facilities Available|Front Desk|Suitable For Children|Car Rental|Family Room|Outdoor Parking - Secured	7	Deluxe Room	15	Room Service |Cable / Satellite / Pay TV available| Hot / Cold Running Water|Housekeeping|Desk in Room|Breakfast Available|Toiletries|TV|Attached Bathroom	9	Hadimba Temple|Chandrakhani Pass|Tibetan Monasteries|Hadimba Road|Van Vihar|Manu Temple|Lady Willingdon Hospital|Manali Bus Stand|Civil Hospital|Manali 1st Super Market|Club House	11	11	3	2	40	5	3	4.3	3.5	3	3.3	4	3	0f511e761abdd126a738f1b1b37318ba
Hotel Preet	Rangri, Kullu Manali National Highway, NH-21	Village Rangri	Manali	Manali	Himachal Pradesh	India	32.22421265	77.19005585	Hotel	null	0	Doctor on Call|Dry Cleaning|Laundry Service Available|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Local Tour / Travel Desk	7	Family Suite Room	69	Balcony / Terrace|Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ensuite / Private Bathroom|Internet Connection In Room|Telephone| Hot / Cold Running Water|Sofa Table / Extra Seats |Mirror|Attached Bathroom	10	ROHTANG PASS |Hadimba Devi Temple|Sollang Valley|GAYATRI DEVI TEMPLE|Vashist Temple|Kothi Village|Civil Hospital|Village Rangri|Chandrakhani Pass|Manali Bus Stand	10	33	3	0	100	3	4	3.7	4	3	4	3.7	3	862a24829c346f6fa68c452899805abc
Hotel Prince	Aleo New Manali, Manali, Himachal Pradesh	Others	Manali	Manali	Himachal Pradesh	India	32.2396325	77.1887145	Hotel	null	2		0	Deluxe Rooms	12	Room Service |Basic Bathroom Amenities	2	Hadimba Temple|Chandrakhani Pass|Vashist Hot Water Springs and Temples|Tibetan Monasteries|Van Vihar|Manu Temple|Lady Willingdon Hospital|Manali Bus Stand|Civil Hospital|Others|Manali 1st Super Market|Club House	12	10	0	0	0	0	0	0	0	0	0	0	0	484375e3dba79a1688238510f9d1a3ce
Hotel Ragini	V.P.O. Naggar	Naggar Road	Manali	Manali	Himachal Pradesh	India	32.1112865	77.1631569	Hotel	null	0	Doctor on Call|Dry Cleaning|Laundry Service Available|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant	6	Deluxe Room	5	Basic Bathroom Amenities|Ensuite / Private Bathroom|Telephone|Newspapers|TV|Mirror	6	Naggar Fort&amp;Art Gallery|Naggar Road|Naggar	3	2	9	1	90	10	4.1	4.1	4	4	4.1	3.9	4	3e4feb889d5f321384e06067e2cbf2da
Hotel Raj Palace	Model Town	Log Huts Area	Manali	Manali	Himachal Pradesh	India	32.22782135	77.18895721	Hotel	null	0	Doctor on Call|Dry Cleaning|Laundry Service Available|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Local Tour / Travel Desk|Outdoor Parking - Secured|Room Service	9	Deluxe Room	18	Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Telephone|TV|Mirror	5	Hadimba Devi Temple|The Mall - Shopping center|Jagatsuhk|Chandrakhani Pass|Manali 1st Super Market|Log Huts Area	6	6	9	4	69	13	3.6	3.7	3.4	3.1	3.7	4.4	3.5	1443b3ac6c71a1a0641d9122dd2aa5a0
Hotel Rajhans	Near Log Huts, Manali, District Kullu, Himachal Pradesh	Log Huts Area	Manali	Manali	Himachal Pradesh	India	32.2516014	77.1806565	Hotel	null	2	Barbecue Area|Currency Exchange|Doctor on Call|Dry Cleaning|Internet Access - Surcharge|Laundry Service Available|Lobby|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Local Tour / Travel Desk|24 Hour Front Desk|Welcome Drinks|Power Backup|Conference Facility |Kids Play Zone|Campfire / Bon Fire|Rooftop Garden|Food Facility|Newspapers In Lobby|Room Service (24 Hours)|Parking Facility	22	Deluxe Room	44	Room Service |Air Conditioning |Balcony / Terrace|Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Clothes Dryer|Ensuite / Private Bathroom|Heating Facility (on request) |Iron / Ironing board available|Internet Connection In Room|Telephone|Washing machine|Mineral Water| Hot / Cold Running Water|Housekeeping|Desk in Room|Safe - In - Room |Bidet|Snacks / Beverage|Mirror|Attached Bathroom	21	ROHTANG PASS |Nagar Castle|Hadimba Devi Temple|Vashisht Rishi Temple|Sollang Valley|Manikaran|Hadimba Temple|Chandrakhani Pass|Vashist Hot Water Springs and Temples|Tibetan Monasteries|Van Vihar|Manu Temple|Lady Willingdon Hospital|Club House|Manali Bus Stand|Civil Hospital|Manali 1st Super Market|Log Huts Area	18	19	6	3	55	9	3.7	4	3.6	3.7	3.8	4.4	3.4	81cddd7521a79db86f7b242a79f38277
Hotel River Inn	Near Rohtang Beas Bridge, Nagar Road, Manali Distt. Kullu Himachal Pradesh 175131	Aleo, Left Bank	Manali	Manali	Himachal Pradesh	India	32.24455086	77.19206726	Hotel	null	2	Laundry Service Available|Lobby|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Locker Facility|Internet Access Free|Baggage Room	8	Super Deluxe	18	Room Service |Bathrobe (on request) |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Hairdryer (on request)|Internet Connection In Room|Newspapers|Housekeeping|Extra Bed, Towels, Linens, Bedding (on request)|Breakfast Available|Window Opens|Safe - In - Room |HD / LCD Satellite TV |TV|Mirror|Attached Bathroom	16	Hadimba Temple|Chandrakhani Pass|Vashist Hot Water Springs and Temples|Tibetan Monasteries|Van Vihar|Manu Temple|Lady Willingdon Hospital|Manali Bus Stand|Civil Hospital|Aleo, Left Bank|Manali 1st Super Market|Club House	12	22	29	5	79	34	3.9	3.8	3.9	3.8	4.1	4.3	3.9	884d288c852f3fd57dc8ef9f2f2f7c6f
Hotel River View	The River View , Near Beas Bridge, Left bank,  Nagar Road, Manali, Distt Kullu, H.P 175131	Aleo, Left Bank	Manali	Manali	Himachal Pradesh	India	32.24481229	77.1920321	Hotel	null	2	Doctor on Call|Dry Cleaning|Laundry Service Available|Parking Facilities Available|Front Desk|Local Tour / Travel Desk|Power Backup|Internet Access Free|Parking Facility|Room Service	10	Super Deluxe	12	Balcony / Terrace|Rooms with Attached Bathrooms	2	Rohtamg Pass|Hadimba Temple|Chandrakhani Pass|Tibetan Monasteries|Vashist Hot Water Springs and Temples|Van Vihar|Manu Temple|Lady Willingdon Hospital|Manali Bus Stand|Civil Hospital|Aleo, Left Bank|Manali 1st Super Market|Club House	13	24	61	13	81	74	4	4	4	4	4.1	4.1	4.1	b8ccff186908d6a9abb55e42fbbed638
Hotel Royal Orchard - Manali	Kanyal road, Gadherni, Manali	Village Simsa	Manali	Manali	Himachal Pradesh	India	32.21926657	77.18463754	Resort	null	2	Doctor on Call|Laundry Service Available|Lobby|Parking Facilities Available|Front Desk|Local Tour / Travel Desk	6	Deluxe Room	13	Ensuite / Private Bathroom|Telephone| Hot / Cold Running Water|Safe - In - Room |HD / LCD Satellite TV	5	Solang Valley|Manu Temple|Club House|Pimpri/Chinchwad|Rohtamg Pass|Jagatsuhk|Hadimba Temple|Chandrakhani Pass|Tibetan Monasteries|Van Vihar|Beas Kund|Lady Willingdon Hospital|Village Simsa|Himalayan Nyingmapa Gompa|Gadham Thekchhokling Gompa|Manali Bus Stand|Civil Hospital|Nehru Kund|Manali 1st Super Market	19	9	7	0	71	7	4.1	4.1	4.1	4.3	4.1	4.1	4.3	acb00fcfaa4e5cdd3d06cfff45e7bf33
Hotel Satkar Residency	Club House, Old Manali, Manali	Old Manali	Manali	Manali	Himachal Pradesh	India	32.25328551	77.17982834	Hotel	null	3	Business Center |Concierge|Currency Exchange|Doctor on Call|Dry Cleaning|Laundry Service Available|Lobby|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Locker Facility|24 Hour Front Desk|Luggage Storage|Welcome Drinks|Power Backup|Wedding Services Facility|Multi Lingual Staff|Suitable For Children|ATM / Banking|Fax Machine|Fire Place Available |Picnic Area|Smoking Area | Bike on Rent|Extra Person / Child - Share the same room|Car Rental|Taxi Services| Drivers Rest Room|Internet Access Free|Newspapers In Lobby|Family Room|Room Service (24 Hours)|Party hall|Baggage Room|Guide / Sightseeing Service|RO Water Purification System|Parking Facility|Room Service|Fishing|Trekking|Fire Safety|Porter Services Available	42	Deluxe Room	24	Cable / Satellite / Pay TV available|Video/ DVD/ CD Player Available|Heating Facility (on request) |Telephone|Attached Bathroom	5	Solang Valley|Manikaran|Manu Temple|Shimla|Vashisht Hot Springs|Club House|Kullu|Chandigarh|Mandi|Naggar Road market area|Tibetan monasteries|Arjun Gufa (Caves)|Jagatsuhk|Hadimba Temple|Chandrakhani Pass|Tibetan Monasteries|Vashist Hot Water Springs and Temples|Van Vihar|Lady Willingdon Hospital|Manali Bus Stand|Civil Hospital|Old Manali|Manali 1st Super Market	23	23	29	5	79	34	4.2	4.1	3.9	4.3	4.1	4.2	4.5	6da9cc9b0022bb139b30ecd1cc5f9af3
SILVER BIRCH COTTAGE	Manali  Prini V.P.O. Prini village Hamta Road Near Club Mahindra Teh Manali	Village Prini	Manali	Manali	Himachal Pradesh	India	32.2415294	77.1888121	Cottage	null	3	Doctor on Call|Lobby|Parking Facilities Available|Room Service	4	Setan Super Deluxe	10	Room Service |Balcony / Terrace|Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ceiling Fan|Heating Facility (on request) |Telephone|Shower Facility Available|Newspapers|Shower Caps Available| Hot / Cold Running Water|Housekeeping|Desk in Room|Extra Bed, Towels, Linens, Bedding (on request)|Toiletries|Bathtub Only|Handheld Showers|TV|Room Heater|Attached Bathroom|Bathtub|Clothes Hook in Bathroom|Modern Toilet Facilities|Western Toilet Seat	24	Hadimba Temple|Chandrakhani Pass|Vashist Hot Water Springs and Temples|Tibetan Monasteries|Van Vihar|Manali 1st Super Market|Manu Temple|Lady Willingdon Hospital|Manali Bus Stand|Civil Hospital|Nehru Kund|Village Prini|Club House|Beas Kund	14	8	1	0	0	1	5	5	5	5	5	5	5	a0a707bcd33d6168bf39638bf9adf16b
SNOW COTTAGE	DPS ROAD, OLD MANALI, MANALI	Old Manali	Manali	Manali	Himachal Pradesh	India	32.2502966	77.1768662	Cottage	null	1	Doctor on Call|Laundry Service Available|Lobby|Parking Facilities Available|Front Desk|Local Tour / Travel Desk|Major Credit Cards Accepted|24 Hour Front Desk|Luggage Storage|Medical Assistance Available|Power Backup|Room Service|Public Restrooms	13	standard room	13	Room Service |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Video/ DVD/ CD Player Available|Ceiling Fan|Telephone|Breakfast Available (surcharge)|Newspapers|Mineral Water| Hot / Cold Running Water|Housekeeping|Desk in Room|TV|Mirror|Dressing Area|Luggage Rack|Attached Bathroom|Closet|Daily Room Cleaning|Dustbins	20	Hadimba Temple|Chandrakhani Pass|Vashist Hot Water Springs and Temples|Tibetan Monasteries|Van Vihar|Manali 1st Super Market|Manu Temple|Lady Willingdon Hospital|Manali Bus Stand|Civil Hospital|Old Manali|Nehru Kund|Beas Kund|Club House	14	2	3	0	100	3	4.9	4.9	4.9	4.9	4.9	4.9	4.9	e0f6e42d3123895d536d69c8dd46e28c
SNOW COUNTRY MANALI	NAGGAR ROAD,ALEO, NEW MANALI  175131	Aleo, left bank	Manali	Manali	Himachal Pradesh	India	32.229129	77.1965914	Hotel	null	0	Laundry Service Available|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |24 Hour Front Desk|Medical Assistance Available|Nature Walk|Food Facility|Internet Access Free|Room Service (24 Hours)|Room Service|Public Restrooms|Speciality Restaurant	13	DELUXE ROOM	22	Room Service |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ceiling Fan|Internet Connection In Room|Telephone|Shower Facility Available| Hot / Cold Running Water|Housekeeping|Window Opens|Coffee Table|Sofa Table / Extra Seats |TV|Mirror|Bedside Table|Curtains/Shades|Daily Room Cleaning|Modern Toilet Facilities|Room with Window/Ventilation|Rooms with Attached Bathrooms|Sanitary Bin|Sufficient Lighting|Western Toilet Seat	23	Hadimba Temple|Chandrakhani Pass|Vashist Hot Water Springs and Temples|Tibetan Monasteries|Nehru Kund|Van Vihar|Manali 1st Super Market|Manu Temple|Lady Willingdon Hospital|Manali Bus Stand|Civil Hospital|Aleo, Left Bank|Beas Kund|Club House	14	28	1	0	100	1	5	5	5	5	5	5	5	db732394df5522c3a8000fe7b911d0a0
Snow Crown Cottage	kanyal road, simsa	Village Simsa	Manali	Manali	Himachal Pradesh	India	32.23709552	77.1850278	Cottage	null	0	Banquet Facilities|Doctor on Call|Dry Cleaning|Internet Access - Surcharge|Laundry Service Available|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Local Tour / Travel Desk|ATM / Banking|Newspapers In Lobby|Room Service (24 Hours)|Parking Facility	13	Super Deluxe Room	16	Room Service |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ensuite / Private Bathroom|Iron / Ironing board available|Tea Coffee Kettle / Maker|Telephone|Shower Facility Available| Hot / Cold Running Water|Housekeeping|Desk in Room|Safe - In - Room |HD / LCD Satellite TV |Mirror|Attached Bathroom|Bathtub	16	ROHTANG PASS |Nagar Castle|Hadimba Devi Temple|Vashisht Rishi Temple|Sollang Valley|Manikaran|Hadimba Temple|Chandrakhani Pass|Tibetan Monasteries|Vashist Hot Water Springs and Temples|Van Vihar|Beas Kund|Manu Temple|Lady Willingdon Hospital|Village Simsa|Manali Bus Stand|Civil Hospital|Nehru Kund|Manali 1st Super Market|Club House	20	11	1	0	100	1	4.6	4.6	4.6	4.6	4.6	4.6	4.6	89d7b2030a25d24bb5ee98dc69461f93
SOLANG COTTAGE	SOLANG VALLEY , MANALI-ROHTANG ROAD, P.O. PALCHAN, MANALI	Others	Manali	Manali	Himachal Pradesh	India	32.31021537	77.1772561	Cottage	null	3	Laundry Service Available|Parking Facilities Available|Front Desk|Locker Facility|24 Hour Front Desk|Gardens|Catering|Veg / Non Veg Kitchens Separate |Car Rental|Badminttion Court|Mini Theatre|Karaoke |Food Facility|Room Service (24 Hours)| Cook Services|Air / Rail Booking|Parking Facility|Restaurant|Room Service	19	Deluxe Room	5		0	Others|Solang Valley	2	46	34	4	92	38	4.6	4.5	4.5	4.4	4.7	4.8	4.7	dfefae12c65327da24a4bb89174b399c
Sparsh Resort	Near Loghuts area	Log Huts Area	Manali	Manali	Himachal Pradesh	India	32.25004967	77.17414474	Hotel	null	2	Airport Transfer Available / Surcharge|Barbecue Area|Doctor on Call|Games Zone|Laundry Service Available|Parking Facilities Available|Front Desk|Locker Facility|Local Tour / Travel Desk|Hookah Lounge|24 Hour Front Desk|Medical Assistance Available|Welcome Drinks|Gardens|Kitchen available (home cook food on request)|Veranda|Transfers Available| Bike on Rent|Veg / Non Veg Kitchens Separate |Shopping Drop Facility (on fixed timings)|Vegetarian Food / Jain Food Available|Car Rental|City Shuttle Service|Campfire / Bon Fire|Food Facility|Internet Access Free|Newspapers In Lobby|Children's Park| Cook Services|Air / Rail Booking|Guide / Sightseeing Service|Internet / Fax (Reception area only)|Outdoor Parking - Secured|Parking Facility	34	Standard Room	32	Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ensuite / Private Bathroom|Telephone	4	ROHTANG PASS |Nagar Castle|Hadimba Devi Temple|Vashisht Rishi Temple|Sollang Valley|Manikaran|GAYATRI DEVI TEMPLE|Hadimba Temple|Chandrakhani Pass|Tibetan Monasteries|Van Vihar|Manu Temple|Lady Willingdon Hospital|Log Huts Area|Civil Hospital|Manali 1st Super Market|Club House	17	27	12	2	78	14	3.9	3.9	3.9	4	3.9	4.1	3.9	9b5005d6f134d7031ff8c04360998188
Strow Cottages	Village-Kanyal, PO- Chhiyal	Aleo, Left Bank	Manali	Manali	Himachal Pradesh	India	32.2396325	77.1887145	Cottage	null	3	Airport Transfer Available / Surcharge|Doctor on Call|Dry Cleaning|Internet Access - Surcharge|Laundry Service Available|Library|Lobby|Non Smoking Rooms|Parking Facilities Available|Pets Allowed|Front Desk|Locker Facility|Non Smoking Hotel|Spa On Site - Chargeable|Local Tour / Travel Desk|Major Credit Cards Accepted|24 Hour Front Desk|Doorman|Welcome Drinks|Power Backup|Gardens|Catering|Kitchen available (home cook food on request)|Multi - Line Phone|Fire Place Available |Pick Up and Drop (Rly Station, Bus Stand, Temple)|Open Air Restaurant / Dining |Transfers Available|Veg / Non Veg Kitchens Separate |Car Rental|Express Laundry|Self Check - In|Food Facility| Drivers Rest Room|Internet Access Free|Newspapers In Lobby|Room Service (24 Hours)|Parking (Surcharge)| Cook Services|Party hall|Baggage Room|Airport Transfer Free|Outdoor Parking - Secured|Parking Facility|Restaurant|Room Service|CCTV|Full Time Operation for All 7 Days|Hotel Trading License|Public Restrooms|Speciality Restaurant	51	Super Deluxe Room	8	Hairdryer (on request)|Breakfast Available|Window Opens|Makeup / Shaving Mirror|Wardrobe|Room Heater|Mirror|Attached Bathroom|Bedside Table|Curtains/Shades|Do-Not-Disturb Notice|Room with Window/Ventilation|Rooms with Attached Bathrooms	13	Hadimba Temple|Chandrakhani Pass|Vashist Hot Water Springs and Temples|Tibetan Monasteries|Van Vihar|Manu Temple|Lady Willingdon Hospital|Manali Bus Stand|Civil Hospital|Aleo, Left Bank|Manali 1st Super Market|Club House	12	6	19	0	78	19	4.6	4.5	4.3	4.7	4.4	4	4.8	063f51b2629b7e02f45e19330a197b49
Sunrise Cottage	Simsa	Village Simsa	Manali	Manali	Himachal Pradesh	India	32.2236026	77.1858995	Cottage	null	0	Doctor on Call|Dry Cleaning|Laundry Service Available|Front Desk	4	Deluxe Room	9	Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Heating Facility (on request) |Telephone|Mirror	5	Hadimba Devi Temple|The Mall|Tibetian Monastery|Jagatsuhk|Hadimba Temple|Chandrakhani Pass|Tibetan Monasteries|Van Vihar|Manali 1st Super Market|Manu Temple|Lady Willingdon Hospital|Village Simsa|Himalayan Nyingmapa Gompa|Gadham Thekchhokling Gompa|Manali Bus Stand|Civil Hospital|Nehru Kund|Beas Kund|Club House	19	5	1	0	100	1	4	4	4	4	4	4	4	1b42d47ffa7a51885ab8529fef7e8131
Tentsville	Bahanu pul, off NH 21, Manali 175131, India	Village Rangri	Manali	Manali	Himachal Pradesh	India	32.20634735	77.19176934	Tent	null	0	Barbecue Area|Currency Exchange|Doctor on Call|Games Zone|Lobby|Parking Facilities Available|Pets Allowed|Front Desk|Multi Cuisine Restaurant |Local Tour / Travel Desk|Valet service|24 Hour Front Desk|Luggage Storage|Medical Assistance Available|Welcome Drinks|Power Backup|Express Check-In / Check-Out|Gardens|Computer Rental|Wedding Services Facility|Dance Performances (on demand)|Catering|Multi Lingual Staff|Wake-up Call / Service|Porter / Bellhop|Suitable For Children|Separate Sitting Area|Coffee Shop / Cafe|Smoking Rooms|Access Via Exterior Corridors|ATM / Banking|Kitchen available (home cook food on request)|Fire Place Available |Picnic Area|Clubhouse|Safari|Pick Up and Drop (Rly Station, Bus Stand, Temple)|Nature Walk|Smoking Area |Veranda|Open Air Restaurant / Dining |Transfers Available| Bike on Rent|In House Events |Vegetarian Food / Jain Food Available|Extra Person / Child - Share the same room|Village Visit ( Chargeable )|Car Rental|Kids Play Zone|Oxygen Cylinder (on request)|Taxi Services|Campfire / Bon Fire|Food Facility| Drivers Rest Room|Newspapers In Lobby|Children's Park|Postal / Parcel Services|Family Room|Room Service (24 Hours)|Parking (Surcharge)| Cook Services|Air / Rail Booking|Baggage Room|Guide / Sightseeing Service|Laptop Available on Hire|Outdoor Parking - Secured|Outdoor Parking - Non Secured|Parking Facility|Room Service|Fishing|Porter Services Available|Public Restrooms|Speciality Restaurant	73	Double Bedded Tent	10	Room Service |Alarm Clock	2	Himalayan Nyingmapa Gompa|Chandrakhani Pass|Gadham Thekchhokling Gompa|Manali Bus Stand|Civil Hospital|Village Rangri|Nehru Kund|Beas Kund	8	12	2	0	100	2	5	4	4	5	4.5	4	5	2a096f14656f781be21992422abdf849
The Royal Regency	Left Bank Road, Aleo, Manali	Aleo, left bank	Manali	Manali	Himachal Pradesh	India	32.2367909	77.1944707	Hotel	null	3	Currency Exchange|Doctor on Call|Internet Access - Surcharge|Laundry Service Available|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Local Tour / Travel Desk|24 Hour Front Desk|Gardens|Pool Cafe|Food Facility|Room Service (24 Hours)|Parking Facility|Room Service	15	Honeymoon Suite	24	Room Service |Air Conditioning |Balcony / Terrace|Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ceiling Fan|Heating Facility (on request) |Telephone|Newspapers|Mineral Water|Shoe Shine| Hot / Cold Running Water|Housekeeping|Desk in Room|Extra Bed, Towels, Linens, Bedding (on request)|Breakfast Available|Toiletries|Window Opens|Safe - In - Room |Bidet|TV|Mirror|Dressing Area|Luggage Rack|Attached Bathroom	25	Solang Valley|Rohtang Pass|Airport|Hadimba Temple|Manu Temple|Rahala Water Falls|Nehru Kund|Railway Station|Rahala Fall|Jagatsuhk|Aleo, Left Bank|Aleo Bus Stop|Manali Bus Stand	13	32	30	1	83	31	4.5	4.7	4.5	4.8	4.7	4.4	4.7	222c65c80885b675bcc5b436d108ee5f
